package,path,content_path,extension,size,important_restored_resource,sha1,crc32
import_test_both_csc,D:\Games\Red Dead Redemption\Code_RED\build\mp_content_restore_pass2\import_test_both_csc\content\release\multiplayer\regions\coop\coopbasic.csc,content/release/multiplayer/regions/coop/coopbasic.csc,.csc,9706,False,A89C2CE2247F437211E639CCD6EE1459B598C12C,0BA9F362
import_test_both_csc,D:\Games\Red Dead Redemption\Code_RED\build\mp_content_restore_pass2\import_test_both_csc\content\release\multiplayer\regions\ctf_arm\ctf_arm.csc,content/release/multiplayer/regions/ctf_arm/ctf_arm.csc,.csc,13342,False,E8CB5EFBBFE52FB5266790579E59A3C80DB78165,899300CF
import_test_both_csc,D:\Games\Red Dead Redemption\Code_RED\build\mp_content_restore_pass2\import_test_both_csc\content\release\multiplayer\regions\ctf_arm\ctf_arm_single.csc,content/release/multiplayer/regions/ctf_arm/ctf_arm_single.csc,.csc,12984,False,2EF2D88F799B7564A321CD2958401D6D7B9FF0E1,9EF42A80
import_test_both_csc,D:\Games\Red Dead Redemption\Code_RED\build\mp_content_restore_pass2\import_test_both_csc\content\release\multiplayer\regions\ctf_arm\ctf_arm_sym.csc,content/release/multiplayer/regions/ctf_arm/ctf_arm_sym.csc,.csc,12918,False,F05D0903F2991CF41D6B6F51C97F555E1457D5BF,39363CCD
import_test_both_csc,D:\Games\Red Dead Redemption\Code_RED\build\mp_content_restore_pass2\import_test_both_csc\content\release\multiplayer\regions\ctf_chu\ctf_chu.csc,content/release/multiplayer/regions/ctf_chu/ctf_chu.csc,.csc,11939,False,5A15EACA6D6DF076BA4FA16DE48C3E808D347315,E1BBAC58
import_test_both_csc,D:\Games\Red Dead Redemption\Code_RED\build\mp_content_restore_pass2\import_test_both_csc\content\release\multiplayer\regions\ctf_chu\ctf_chu_single.csc,content/release/multiplayer/regions/ctf_chu/ctf_chu_single.csc,.csc,11958,False,C2B8A2A172BBB9A09F678A03278C7A6E8D2D1BAE,E2C2707F
import_test_both_csc,D:\Games\Red Dead Redemption\Code_RED\build\mp_content_restore_pass2\import_test_both_csc\content\release\multiplayer\regions\ctf_chu\ctf_chu_sym.csc,content/release/multiplayer/regions/ctf_chu/ctf_chu_sym.csc,.csc,11912,False,1468BFF54CADCBA4EBAC0013BD87727F89C48665,B16B7B9B
import_test_both_csc,D:\Games\Red Dead Redemption\Code_RED\build\mp_content_restore_pass2\import_test_both_csc\content\release\multiplayer\regions\ctf_dzc\ctf_dzc_sym.csc,content/release/multiplayer/regions/ctf_dzc/ctf_dzc_sym.csc,.csc,12251,False,45DF618BBB88E5CC347D5A2DFCDCAFB28320F7A9,9FB23546
import_test_both_csc,D:\Games\Red Dead Redemption\Code_RED\build\mp_content_restore_pass2\import_test_both_csc\content\release\multiplayer\regions\ctf_hen\ctf_hen.csc,content/release/multiplayer/regions/ctf_hen/ctf_hen.csc,.csc,12979,False,A92E82616BA47F42F0B777A2141FDF7011D3D4AD,DD9D60D1
import_test_both_csc,D:\Games\Red Dead Redemption\Code_RED\build\mp_content_restore_pass2\import_test_both_csc\content\release\multiplayer\regions\ctf_lsh\ctf_lsh.csc,content/release/multiplayer/regions/ctf_lsh/ctf_lsh.csc,.csc,14025,False,BF83228AF8F33B60A1528C5AF1200BD100C96860,097DF475
import_test_both_csc,D:\Games\Red Dead Redemption\Code_RED\build\mp_content_restore_pass2\import_test_both_csc\content\release\multiplayer\regions\ctf_lsh\ctf_lsh_sym.csc,content/release/multiplayer/regions/ctf_lsh/ctf_lsh_sym.csc,.csc,11885,False,1FBE3542972B295B63E95E999C77A7749ED04399,A04D0C88
import_test_both_csc,D:\Games\Red Dead Redemption\Code_RED\build\mp_content_restore_pass2\import_test_both_csc\content\release\multiplayer\regions\ctf_tes\ctf_tes_single.csc,content/release/multiplayer/regions/ctf_tes/ctf_tes_single.csc,.csc,11222,False,4234628BB4525AAA2D6550298BBF7586F244A254,1C60FC81
import_test_both_csc,D:\Games\Red Dead Redemption\Code_RED\build\mp_content_restore_pass2\import_test_both_csc\content\release\multiplayer\regions\ctf_tes\ctf_tes_sym.csc,content/release/multiplayer/regions/ctf_tes/ctf_tes_sym.csc,.csc,11170,False,A74EEBD9978B06D820F4560B383A85CDCC329821,F05E186F
import_test_both_csc,D:\Games\Red Dead Redemption\Code_RED\build\mp_content_restore_pass2\import_test_both_csc\content\release\multiplayer\regions\ctf_tum\ctf_tum_single.csc,content/release/multiplayer/regions/ctf_tum/ctf_tum_single.csc,.csc,12747,False,0D991D11E971DC0862674A6EC9290533BAB2CCC5,12308A35
import_test_both_csc,D:\Games\Red Dead Redemption\Code_RED\build\mp_content_restore_pass2\import_test_both_csc\content\release\multiplayer\regions\ctf_upr\ctf_upr.csc,content/release/multiplayer/regions/ctf_upr/ctf_upr.csc,.csc,12105,False,0531172BF3EF64C1E3E0D666FF38C14C25330380,67D1836A
import_test_both_csc,D:\Games\Red Dead Redemption\Code_RED\build\mp_content_restore_pass2\import_test_both_csc\content\release\multiplayer\regions\ctf_w2\ctf_w2_single.csc,content/release/multiplayer/regions/ctf_w2/ctf_w2_single.csc,.csc,9555,False,D79302A2DA70182950C82B2CF028E03049570571,8497178A
import_test_both_csc,D:\Games\Red Dead Redemption\Code_RED\build\mp_content_restore_pass2\import_test_both_csc\content\release\multiplayer\regions\dm_arm\deathmatch_arm.csc,content/release/multiplayer/regions/dm_arm/deathmatch_arm.csc,.csc,13315,False,DF7CD2F22971BF213B35CE030D26851DFCEC8C49,8010FCAC
import_test_both_csc,D:\Games\Red Dead Redemption\Code_RED\build\mp_content_restore_pass2\import_test_both_csc\content\release\multiplayer\regions\dm_chu\deathmatch_chu.csc,content/release/multiplayer/regions/dm_chu/deathmatch_chu.csc,.csc,12338,False,503110D06267891E3A61A55307F96294F84436BA,926227ED
import_test_both_csc,D:\Games\Red Dead Redemption\Code_RED\build\mp_content_restore_pass2\import_test_both_csc\content\release\multiplayer\regions\dm_hen\deathmatch_hen.csc,content/release/multiplayer/regions/dm_hen/deathmatch_hen.csc,.csc,13599,False,6C6741C57BAA6BAF7D5DC6FEAB3AFEBA149B3169,0E42F4BC
