offset,offset_hex,operand_hex,native_index_bits,returns_flag,param_count_bits
98,0x62,01 00,1,1,0
107,0x6B,02 01,258,0,1
176,0xB0,0D 02,525,1,6
191,0xBF,03 03,771,1,1
206,0xCE,09 04,1033,1,4
271,0x10F,0D 02,525,1,6
286,0x11E,03 03,771,1,1
301,0x12D,09 04,1033,1,4
336,0x150,05 05,1285,1,2
341,0x155,01 00,1,1,0
347,0x15B,03 06,1539,1,1
356,0x164,02 01,258,0,1
365,0x16D,01 00,1,1,0
437,0x1B5,02 01,258,0,1
449,0x1C1,01 07,1793,1,0
471,0x1D7,04 08,2052,0,2
491,0x1EB,02 09,2306,0,1
500,0x1F4,00 0A,2560,0,0
518,0x206,02 0B,2818,0,1
676,0x2A4,02 0C,3074,0,1
688,0x2B0,02 0D,3330,0,1
701,0x2BD,04 0E,3588,0,2
721,0x2D1,05 0F,3845,1,2
724,0x2D4,02 10,4098,0,1
736,0x2E0,02 11,4354,0,1
756,0x2F4,05 0F,3845,1,2
759,0x2F7,02 12,4610,0,1
779,0x30B,05 0F,3845,1,2
782,0x30E,02 13,4866,0,1
794,0x31A,02 14,5122,0,1
807,0x327,05 0F,3845,1,2
810,0x32A,02 15,5378,0,1
822,0x336,02 16,5634,0,1
979,0x3D3,02 17,5890,0,1
992,0x3E0,02 18,6146,0,1
1008,0x3F0,02 18,6146,0,1
1021,0x3FD,02 19,6402,0,1
1037,0x40D,02 1A,6658,0,1
1076,0x434,02 18,6146,0,1
1098,0x44A,02 18,6146,0,1
1120,0x460,02 18,6146,0,1
1124,0x464,03 1B,6915,1,1
1148,0x47C,02 17,5890,0,1
1152,0x480,03 1B,6915,1,1
1178,0x49A,02 17,5890,0,1
1200,0x4B0,02 17,5890,0,1
1204,0x4B4,02 1C,7170,0,1
1349,0x545,04 1D,7428,0,2
1368,0x558,02 1E,7682,0,1
1413,0x585,04 1F,7940,0,2
1508,0x5E4,03 03,771,1,1
1518,0x5EE,02 20,8194,0,1
1535,0x5FF,03 03,771,1,1
1544,0x608,02 20,8194,0,1
1551,0x60F,03 03,771,1,1
1561,0x619,02 20,8194,0,1
1739,0x6CB,02 21,8450,0,1
1752,0x6D8,02 21,8450,0,1
1768,0x6E8,02 21,8450,0,1
1781,0x6F5,02 22,8706,0,1
1797,0x705,02 22,8706,0,1
1837,0x72D,02 23,8962,0,1
1859,0x743,02 23,8962,0,1
1881,0x759,02 23,8962,0,1
1901,0x76D,02 22,8706,0,1
1923,0x783,02 22,8706,0,1
1945,0x799,02 22,8706,0,1
1949,0x79D,02 1C,7170,0,1
2046,0x7FE,03 24,9219,1,1
2130,0x852,03 25,9475,1,1
2171,0x87B,03 26,9731,1,1
2174,0x87E,05 27,9989,1,2
2193,0x891,03 26,9731,1,1
2196,0x894,05 27,9989,1,2
2215,0x8A7,03 26,9731,1,1
2218,0x8AA,05 27,9989,1,2
2237,0x8BD,03 26,9731,1,1
2240,0x8C0,05 27,9989,1,2
2245,0x8C5,03 28,10243,1,1
2253,0x8CD,03 28,10243,1,1
2264,0x8D8,03 28,10243,1,1
2300,0x8FC,05 27,9989,1,2
2313,0x909,05 27,9989,1,2
2326,0x916,05 27,9989,1,2
2339,0x923,05 27,9989,1,2
2344,0x928,03 28,10243,1,1
2391,0x957,03 29,10499,1,1
2404,0x964,02 2A,10754,0,1
2458,0x99A,03 2B,11011,1,1
2469,0x9A5,05 2C,11269,1,2
2479,0x9AF,05 2D,11525,1,2
2492,0x9BC,01 2E,11777,1,0
2576,0xA10,03 2B,11011,1,1
3481,0xD99,03 2B,11011,1,1
3540,0xDD4,05 2F,12037,1,2
3573,0xDF5,00 30,12288,0,0
3582,0xDFE,02 31,12546,0,1
3703,0xE77,05 32,12805,1,2
3717,0xE85,05 32,12805,1,2
3736,0xE98,05 32,12805,1,2
3755,0xEAB,03 25,9475,1,1
3763,0xEB3,03 25,9475,1,1
3771,0xEBB,05 32,12805,1,2
3816,0xEE8,05 27,9989,1,2
3895,0xF37,05 27,9989,1,2
3907,0xF43,05 27,9989,1,2
3919,0xF4F,01 2E,11777,1,0
4003,0xFA3,03 2B,11011,1,1
4360,0x1108,01 33,13057,1,0
4369,0x1111,01 2E,11777,1,0
4390,0x1126,03 24,9219,1,1
4462,0x116E,01 2E,11777,1,0
4534,0x11B6,03 2B,11011,1,1
4621,0x120D,01 2E,11777,1,0
4695,0x1257,03 2B,11011,1,1
4779,0x12AB,05 2C,11269,1,2
4788,0x12B4,02 34,13314,0,1
4824,0x12D8,04 35,13572,0,2
4845,0x12ED,04 35,13572,0,2
4867,0x1303,04 35,13572,0,2
4892,0x131C,04 35,13572,0,2
4919,0x1337,04 35,13572,0,2
4937,0x1349,04 35,13572,0,2
4960,0x1360,02 36,13826,0,1
4970,0x136A,02 37,14082,0,1
4977,0x1371,02 37,14082,0,1
5055,0x13BF,03 26,9731,1,1
5060,0x13C4,03 2B,11011,1,1
5065,0x13C9,0A 38,14346,0,5
5099,0x13EB,03 26,9731,1,1
5111,0x13F7,06 39,14598,0,3
5143,0x1417,03 26,9731,1,1
5146,0x141A,06 39,14598,0,3
5221,0x1465,02 3A,14850,0,1
5277,0x149D,03 26,9731,1,1
5281,0x14A1,05 2C,11269,1,2
5290,0x14AA,03 26,9731,1,1
5294,0x14AE,05 2C,11269,1,2
5300,0x14B4,03 25,9475,1,1
5317,0x14C5,05 27,9989,1,2
5334,0x14D6,05 27,9989,1,2
5351,0x14E7,05 27,9989,1,2
5381,0x1505,02 34,13314,0,1
5388,0x150C,05 27,9989,1,2
5450,0x154A,03 2B,11011,1,1
5498,0x157A,03 3B,15107,1,1
5597,0x15DD,02 31,12546,0,1
5619,0x15F3,02 31,12546,0,1
5696,0x1640,02 3C,15362,0,1
5715,0x1653,01 33,13057,1,0
5747,0x1673,03 26,9731,1,1
5752,0x1678,05 2C,11269,1,2
5757,0x167D,03 25,9475,1,1
5794,0x16A2,02 3D,15618,0,1
5817,0x16B9,02 3E,15874,0,1
5827,0x16C3,02 3F,16130,0,1
5894,0x1706,02 40,16386,0,1
5957,0x1745,03 26,9731,1,1
5966,0x174E,03 41,16643,1,1
6004,0x1774,03 41,16643,1,1
6009,0x1779,03 41,16643,1,1
6022,0x1786,03 41,16643,1,1
6038,0x1796,05 42,16901,1,2
6077,0x17BD,09 43,17161,1,4
6117,0x17E5,19 44,17433,1,12
6149,0x1805,09 45,17673,1,4
6179,0x1823,09 45,17673,1,4
6199,0x1837,05 46,17925,1,2
6217,0x1849,02 47,18178,0,1
6222,0x184E,02 48,18434,0,1
6235,0x185B,03 03,771,1,1
6264,0x1878,05 49,18693,1,2
6271,0x187F,03 03,771,1,1
6294,0x1896,03 4A,18947,1,1
6301,0x189D,03 4B,19203,1,1
6310,0x18A6,03 4C,19459,1,1
6322,0x18B2,05 4D,19717,1,2
6336,0x18C0,0B 4E,19979,1,5
6352,0x18D0,0B 4E,19979,1,5
6380,0x18EC,0A 4F,20234,0,5
6393,0x18F9,03 50,20483,1,1
6419,0x1913,03 51,20739,1,1
6440,0x1928,03 03,771,1,1
6450,0x1932,04 52,20996,0,2
6470,0x1946,0B 4E,19979,1,5
6486,0x1956,04 53,21252,0,2
6491,0x195B,02 54,21506,0,1
6570,0x19AA,05 55,21765,1,2
6580,0x19B4,05 56,22021,1,2
6587,0x19BB,05 56,22021,1,2
6602,0x19CA,01 57,22273,1,0
6605,0x19CD,01 58,22529,1,0
6642,0x19F2,01 59,22785,1,0
6671,0x1A0F,03 5A,23043,1,1
6694,0x1A26,0D 5B,23309,1,6
6809,0x1A99,03 5C,23555,1,1
6872,0x1AD8,05 5D,23813,1,2
6875,0x1ADB,02 5E,24066,0,1
6893,0x1AED,03 5A,23043,1,1
6943,0x1B1F,03 5F,24323,1,1
7055,0x1B8F,03 5F,24323,1,1
7110,0x1BC6,06 60,24582,0,3
7116,0x1BCC,03 03,771,1,1
7148,0x1BEC,15 61,24853,1,10
7191,0x1C17,15 61,24853,1,10
7217,0x1C31,09 62,25097,1,4
7228,0x1C3C,09 63,25353,1,4
7254,0x1C56,09 62,25097,1,4
7266,0x1C62,09 63,25353,1,4
7361,0x1CC1,03 26,9731,1,1
7364,0x1CC4,04 64,25604,0,2
7452,0x1D1C,03 26,9731,1,1
7459,0x1D23,03 2B,11011,1,1
7474,0x1D32,03 65,25859,1,1
7477,0x1D35,03 2B,11011,1,1
7481,0x1D39,0A 38,14346,0,5
7569,0x1D91,0B 66,26123,1,5
7580,0x1D9C,0B 67,26379,1,5
7599,0x1DAF,09 68,26633,1,4
7662,0x1DEE,15 69,26901,1,10
7759,0x1E4F,0B 66,26123,1,5
7771,0x1E5B,0B 67,26379,1,5
7786,0x1E6A,03 6A,27139,1,1
7798,0x1E76,15 69,26901,1,10
7852,0x1EAC,03 6B,27395,1,1
7859,0x1EB3,03 6B,27395,1,1
7885,0x1ECD,03 6C,27651,1,1
7972,0x1F24,05 6D,27909,1,2
8024,0x1F58,05 6D,27909,1,2
8044,0x1F6C,05 6D,27909,1,2
8090,0x1F9A,05 6D,27909,1,2
8140,0x1FCC,03 6C,27651,1,1
8371,0x20B3,03 6A,27139,1,1
8393,0x20C9,15 69,26901,1,10
8401,0x20D1,04 6E,28164,0,2
8406,0x20D6,03 03,771,1,1
8428,0x20EC,15 6F,28437,1,10
8483,0x2123,03 6C,27651,1,1
8889,0x22B9,09 68,26633,1,4
8935,0x22E7,06 60,24582,0,3
8966,0x2306,15 69,26901,1,10
9048,0x2358,01 59,22785,1,0
9081,0x2379,03 70,28675,1,1
9224,0x2408,03 26,9731,1,1
9227,0x240B,03 71,28931,1,1
9239,0x2417,01 72,29185,1,0
9248,0x2420,03 73,29443,1,1
9274,0x243A,03 2B,11011,1,1
9304,0x2458,04 1D,7428,0,2
9320,0x2468,02 19,6402,0,1
9339,0x247B,02 1E,7682,0,1
9487,0x250F,04 74,29700,0,2
9526,0x2536,03 75,29955,1,1
9594,0x257A,03 75,29955,1,1
9759,0x261F,03 75,29955,1,1
9850,0x267A,01 57,22273,1,0
9871,0x268F,01 57,22273,1,0
9998,0x270E,03 75,29955,1,1
10017,0x2721,04 76,30212,0,2
10032,0x2730,02 20,8194,0,1
10067,0x2753,03 75,29955,1,1
