offset,offset_hex,operand_hex,native_index_bits,returns_flag,param_count_bits
107,0x6B,01 00,1,1,0
116,0x74,02 01,258,0,1
174,0xAE,0D 02,525,1,6
181,0xB5,03 03,771,1,1
192,0xC0,09 04,1033,1,4
223,0xDF,05 05,1285,1,2
228,0xE4,01 00,1,1,0
234,0xEA,03 06,1539,1,1
243,0xF3,02 01,258,0,1
252,0xFC,01 00,1,1,0
324,0x144,02 01,258,0,1
374,0x176,02 07,1794,0,1
383,0x17F,01 08,2049,1,0
387,0x183,00 09,2304,0,0
445,0x1BD,04 0A,2564,0,2
464,0x1D0,02 0B,2818,0,1
516,0x204,02 0C,3074,0,1
529,0x211,02 0D,3330,0,1
545,0x221,02 0D,3330,0,1
558,0x22E,02 0E,3586,0,1
574,0x23E,02 0F,3842,0,1
613,0x265,02 0D,3330,0,1
635,0x27B,02 0D,3330,0,1
657,0x291,02 0D,3330,0,1
661,0x295,03 10,4099,1,1
685,0x2AD,02 0C,3074,0,1
689,0x2B1,03 10,4099,1,1
715,0x2CB,02 0C,3074,0,1
737,0x2E1,02 0C,3074,0,1
741,0x2E5,02 11,4354,0,1
1003,0x3EB,02 12,4610,0,1
1015,0x3F7,02 13,4866,0,1
1028,0x404,04 14,5124,0,2
1048,0x418,05 15,5381,1,2
1051,0x41B,02 16,5634,0,1
1063,0x427,02 17,5890,0,1
1083,0x43B,05 15,5381,1,2
1086,0x43E,02 18,6146,0,1
1106,0x452,05 15,5381,1,2
1109,0x455,02 19,6402,0,1
1121,0x461,02 1A,6658,0,1
1134,0x46E,05 15,5381,1,2
1137,0x471,02 1B,6914,0,1
1149,0x47D,02 1C,7170,0,1
1258,0x4EA,02 1D,7426,0,1
1300,0x514,04 1E,7684,0,2
1445,0x5A5,03 1F,7939,1,1
1458,0x5B2,03 20,8195,1,1
1514,0x5EA,07 21,8455,1,3
1636,0x664,03 03,771,1,1
1646,0x66E,02 22,8706,0,1
1663,0x67F,03 03,771,1,1
1672,0x688,02 22,8706,0,1
1679,0x68F,03 03,771,1,1
1689,0x699,02 22,8706,0,1
1738,0x6CA,03 23,8963,1,1
1803,0x70B,03 24,9219,1,1
1808,0x710,03 25,9475,1,1
1813,0x715,0A 26,9738,0,5
1840,0x730,03 24,9219,1,1
1843,0x733,05 27,9989,1,2
1863,0x747,05 28,10245,1,2
1877,0x755,05 28,10245,1,2
1896,0x768,05 28,10245,1,2
1914,0x77A,03 29,10499,1,1
1956,0x7A4,05 27,9989,1,2
1968,0x7B0,05 27,9989,1,2
1980,0x7BC,01 2A,10753,1,0
2064,0x810,03 25,9475,1,1
2969,0xB99,03 25,9475,1,1
3028,0xBD4,05 2B,11013,1,2
3072,0xC00,01 2A,10753,1,0
3144,0xC48,03 25,9475,1,1
3215,0xC8F,03 2C,11267,1,1
3228,0xC9C,02 2D,11522,0,1
3282,0xCD2,03 25,9475,1,1
3293,0xCDD,05 2E,11781,1,2
3303,0xCE7,05 2F,12037,1,2
3349,0xD15,01 2A,10753,1,0
3423,0xD5F,03 25,9475,1,1
3507,0xDB3,05 2E,11781,1,2
3516,0xDBC,02 30,12290,0,1
3565,0xDED,04 31,12548,0,2
3586,0xE02,04 31,12548,0,2
3607,0xE17,04 31,12548,0,2
3629,0xE2D,04 31,12548,0,2
3655,0xE47,04 31,12548,0,2
3673,0xE59,04 31,12548,0,2
3697,0xE71,02 32,12802,0,1
3719,0xE87,02 32,12802,0,1
3796,0xED4,02 33,13058,0,1
3815,0xEE7,01 34,13313,1,0
3847,0xF07,03 24,9219,1,1
3852,0xF0C,05 2E,11781,1,2
3857,0xF11,03 29,10499,1,1
3894,0xF36,02 35,13570,0,1
3917,0xF4D,02 36,13826,0,1
3927,0xF57,02 37,14082,0,1
3994,0xF9A,02 38,14338,0,1
4057,0xFD9,03 24,9219,1,1
4066,0xFE2,03 1F,7939,1,1
4104,0x1008,03 1F,7939,1,1
4109,0x100D,03 1F,7939,1,1
4122,0x101A,03 1F,7939,1,1
4138,0x102A,05 39,14597,1,2
4323,0x10E3,02 3A,14850,0,1
4336,0x10F0,02 3A,14850,0,1
4352,0x1100,02 3A,14850,0,1
4365,0x110D,02 3B,15106,0,1
4381,0x111D,02 3B,15106,0,1
4421,0x1145,02 3C,15362,0,1
4443,0x115B,02 3C,15362,0,1
4465,0x1171,02 3C,15362,0,1
4485,0x1185,02 3B,15106,0,1
4507,0x119B,02 3B,15106,0,1
4529,0x11B1,02 3B,15106,0,1
4533,0x11B5,02 11,4354,0,1
4630,0x1216,03 3D,15619,1,1
4714,0x126A,03 29,10499,1,1
4755,0x1293,03 24,9219,1,1
4758,0x1296,05 27,9989,1,2
4777,0x12A9,03 24,9219,1,1
4780,0x12AC,05 27,9989,1,2
4799,0x12BF,03 24,9219,1,1
4802,0x12C2,05 27,9989,1,2
4821,0x12D5,03 24,9219,1,1
4824,0x12D8,05 27,9989,1,2
4829,0x12DD,03 3E,15875,1,1
4837,0x12E5,03 3E,15875,1,1
4848,0x12F0,03 3E,15875,1,1
4884,0x1314,05 27,9989,1,2
4897,0x1321,05 27,9989,1,2
4910,0x132E,05 27,9989,1,2
4923,0x133B,05 27,9989,1,2
4928,0x1340,03 3E,15875,1,1
4956,0x135C,00 3F,16128,0,0
4965,0x1365,02 32,12802,0,1
5044,0x13B4,03 23,8963,1,1
5109,0x13F5,03 24,9219,1,1
5114,0x13FA,03 25,9475,1,1
5119,0x13FF,0A 26,9738,0,5
5146,0x141A,03 24,9219,1,1
5149,0x141D,05 27,9989,1,2
5169,0x1431,05 28,10245,1,2
5183,0x143F,05 28,10245,1,2
5202,0x1452,05 28,10245,1,2
5228,0x146C,03 29,10499,1,1
5236,0x1474,03 29,10499,1,1
5289,0x14A9,01 34,13313,1,0
5298,0x14B2,01 2A,10753,1,0
5319,0x14C7,03 3D,15619,1,1
5407,0x151F,04 31,12548,0,2
5428,0x1534,04 31,12548,0,2
5449,0x1549,04 31,12548,0,2
5471,0x155F,04 31,12548,0,2
5497,0x1579,04 31,12548,0,2
5515,0x158B,04 31,12548,0,2
5538,0x15A2,02 40,16386,0,1
5548,0x15AC,02 41,16642,0,1
5555,0x15B3,02 41,16642,0,1
5633,0x1601,03 24,9219,1,1
5638,0x1606,03 25,9475,1,1
5643,0x160B,0A 26,9738,0,5
5677,0x162D,03 24,9219,1,1
5689,0x1639,06 42,16902,0,3
5721,0x1659,03 24,9219,1,1
5724,0x165C,06 42,16902,0,3
5799,0x16A7,02 43,17154,0,1
5855,0x16DF,03 24,9219,1,1
5859,0x16E3,05 2E,11781,1,2
5868,0x16EC,03 24,9219,1,1
5872,0x16F0,05 2E,11781,1,2
5878,0x16F6,03 29,10499,1,1
5895,0x1707,05 27,9989,1,2
5912,0x1718,05 27,9989,1,2
5929,0x1729,05 27,9989,1,2
5959,0x1747,02 30,12290,0,1
5966,0x174E,05 27,9989,1,2
6045,0x179D,03 25,9475,1,1
6093,0x17CD,03 44,17411,1,1
6204,0x183C,09 45,17673,1,4
6244,0x1864,19 46,17945,1,12
6276,0x1884,09 47,18185,1,4
6306,0x18A2,09 47,18185,1,4
6326,0x18B6,05 48,18437,1,2
6344,0x18C8,02 49,18690,0,1
6349,0x18CD,02 4A,18946,0,1
6362,0x18DA,03 03,771,1,1
6391,0x18F7,05 4B,19205,1,2
6398,0x18FE,03 03,771,1,1
6421,0x1915,03 4C,19459,1,1
6428,0x191C,03 4D,19715,1,1
6437,0x1925,03 4E,19971,1,1
6449,0x1931,05 4F,20229,1,2
6463,0x193F,0B 50,20491,1,5
6479,0x194F,0B 50,20491,1,5
6507,0x196B,0A 51,20746,0,5
6520,0x1978,03 52,20995,1,1
6546,0x1992,03 53,21251,1,1
6567,0x19A7,03 03,771,1,1
6577,0x19B1,04 54,21508,0,2
6597,0x19C5,0B 50,20491,1,5
6613,0x19D5,04 55,21764,0,2
6618,0x19DA,02 56,22018,0,1
6697,0x1A29,05 57,22277,1,2
6707,0x1A33,05 58,22533,1,2
6714,0x1A3A,05 58,22533,1,2
6729,0x1A49,01 59,22785,1,0
6732,0x1A4C,01 5A,23041,1,0
6769,0x1A71,01 5B,23297,1,0
6798,0x1A8E,03 5C,23555,1,1
6821,0x1AA5,0D 5D,23821,1,6
6936,0x1B18,03 5E,24067,1,1
6999,0x1B57,05 5F,24325,1,2
7002,0x1B5A,02 60,24578,0,1
7020,0x1B6C,03 5C,23555,1,1
7070,0x1B9E,03 61,24835,1,1
7182,0x1C0E,03 61,24835,1,1
7237,0x1C45,06 62,25094,0,3
7243,0x1C4B,03 03,771,1,1
7275,0x1C6B,15 63,25365,1,10
7318,0x1C96,15 63,25365,1,10
7344,0x1CB0,09 64,25609,1,4
7355,0x1CBB,09 65,25865,1,4
7381,0x1CD5,09 64,25609,1,4
7393,0x1CE1,09 65,25865,1,4
7488,0x1D40,03 24,9219,1,1
7491,0x1D43,04 66,26116,0,2
7574,0x1D96,03 24,9219,1,1
7581,0x1D9D,03 25,9475,1,1
7596,0x1DAC,03 23,8963,1,1
7599,0x1DAF,03 25,9475,1,1
7603,0x1DB3,0A 26,9738,0,5
7691,0x1E0B,0B 67,26379,1,5
7702,0x1E16,0B 68,26635,1,5
7721,0x1E29,09 69,26889,1,4
7784,0x1E68,15 6A,27157,1,10
7881,0x1EC9,0B 67,26379,1,5
7893,0x1ED5,0B 68,26635,1,5
7908,0x1EE4,03 6B,27395,1,1
7920,0x1EF0,15 6A,27157,1,10
7974,0x1F26,03 6C,27651,1,1
7981,0x1F2D,03 6C,27651,1,1
8007,0x1F47,03 6D,27907,1,1
8094,0x1F9E,05 6E,28165,1,2
8146,0x1FD2,05 6E,28165,1,2
8166,0x1FE6,05 6E,28165,1,2
8212,0x2014,05 6E,28165,1,2
8262,0x2046,03 6D,27907,1,1
8493,0x212D,03 6B,27395,1,1
8515,0x2143,15 6A,27157,1,10
8523,0x214B,04 6F,28420,0,2
8528,0x2150,03 03,771,1,1
8550,0x2166,15 70,28693,1,10
8605,0x219D,03 6D,27907,1,1
9011,0x2333,09 69,26889,1,4
9057,0x2361,06 62,25094,0,3
9088,0x2380,15 6A,27157,1,10
9170,0x23D2,01 5B,23297,1,0
9203,0x23F3,03 71,28931,1,1
9309,0x245D,03 24,9219,1,1
9312,0x2460,03 72,29187,1,1
9324,0x246C,01 73,29441,1,0
9333,0x2475,03 74,29699,1,1
9359,0x248F,03 25,9475,1,1
9389,0x24AD,04 0A,2564,0,2
9405,0x24BD,02 0E,3586,0,1
9424,0x24D0,02 0B,2818,0,1
9572,0x2564,04 75,29956,0,2
9611,0x258B,03 76,30211,1,1
9679,0x25CF,03 76,30211,1,1
9844,0x2674,03 76,30211,1,1
9935,0x26CF,01 59,22785,1,0
9956,0x26E4,01 59,22785,1,0
10083,0x2763,03 76,30211,1,1
10102,0x2776,04 77,30468,0,2
10117,0x2785,02 22,8706,0,1
10152,0x27A8,03 76,30211,1,1
10209,0x27E1,03 78,30723,1,1
10224,0x27F0,03 79,30979,1,1
10260,0x2814,04 77,30468,0,2
10278,0x2826,03 7A,31235,1,1
10293,0x2835,03 79,30979,1,1
10314,0x284A,04 7B,31492,0,2
10356,0x2874,03 76,30211,1,1
10377,0x2889,07 21,8455,1,3
10394,0x289A,05 7C,31749,1,2
10413,0x28AD,05 7D,32005,1,2
10419,0x28B3,03 7E,32259,1,1
10429,0x28BD,04 7F,32516,0,2
10440,0x28C8,03 76,30211,1,1
10463,0x28DF,07 21,8455,1,3
10478,0x28EE,05 7C,31749,1,2
10495,0x28FF,05 7D,32005,1,2
10501,0x2905,03 7E,32259,1,1
10510,0x290E,04 7F,32516,0,2
10560,0x2940,03 06,1539,1,1
10658,0x29A2,07 80,32775,1,3
10665,0x29A9,03 81,33027,1,1
10668,0x29AC,03 76,30211,1,1
10682,0x29BA,03 81,33027,1,1
10762,0x2A0A,01 82,33281,1,0
11039,0x2B1F,02 83,33538,0,1
11060,0x2B34,02 84,33794,0,1
11088,0x2B50,03 85,34051,1,1
11133,0x2B7D,01 5B,23297,1,0
11158,0x2B96,07 86,34311,1,3
11193,0x2BB9,00 87,34560,0,0
11262,0x2BFE,02 43,17154,0,1
11273,0x2C09,03 85,34051,1,1
11308,0x2C2C,04 88,34820,0,2
11324,0x2C3C,01 89,35073,1,0
11332,0x2C44,01 89,35073,1,0
11349,0x2C55,03 8A,35331,1,1
11353,0x2C59,0A 8B,35594,0,5
11399,0x2C87,05 6E,28165,1,2
11408,0x2C90,02 84,33794,0,1
11417,0x2C99,05 6E,28165,1,2
11426,0x2CA2,02 83,33538,0,1
11429,0x2CA5,00 8C,35840,0,0
11436,0x2CAC,02 84,33794,0,1
11440,0x2CB0,02 83,33538,0,1
11461,0x2CC5,02 84,33794,0,1
11464,0x2CC8,00 8C,35840,0,0
11488,0x2CE0,05 6E,28165,1,2
11497,0x2CE9,02 84,33794,0,1
11500,0x2CEC,00 8C,35840,0,0
11518,0x2CFE,02 83,33538,0,1
11542,0x2D16,05 6E,28165,1,2
