categories,relative_path,path,name,extension,size,sha1,match_reasons,matched_terms,line_hits,strings_sample,metadata
cutscenes,act\actres\act\custom\cutscene_intro01.cat,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root\act\actres\act\custom\cutscene_intro01.cat,cutscene_intro01.cat,.cat,309,6677c5a70fc6f43416f9383d2fbebe18adff68d9,cutscenes:cutscene;cutscenes:strong_path_or_extension,cutscene,[],"["":@FM"", ""e5\\."", ""o/ s"", ""$|k@6Y"", ""LjGM""]",{}
cutscenes,act\actres\act\custom\cutscene_marshal03.cat,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root\act\actres\act\custom\cutscene_marshal03.cat,cutscene_marshal03.cat,.cat,804,c867668b75ee5274021f520d91b2a5c5d0449205,cutscenes:cutscene;cutscenes:strong_path_or_extension,cutscene,[],"[""~i~6"", ""73ogw"", ""@$P;2"", ""D_&m,"", ""N'iP_x"", ""NDb<"", ""QknE<"", ""cx256gb5N"", ""R.%GF"", ""X[q_K{""]",{}
cutscenes,act\actres\act\custom\cutscene_outlaw03.cat,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root\act\actres\act\custom\cutscene_outlaw03.cat,cutscene_outlaw03.cat,.cat,291,7f5e15fbb3b871ee9b4b20fe2fafce226e1f0203,cutscenes:cutscene;cutscenes:strong_path_or_extension,cutscene,[],"[""o```"", "",z 62"", ""63d3"", ""HzbI*L"", "".I,*IMq""]",{}
cutscenes,camera\0x6E967836,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root\camera\0x6E967836,0x6E967836,<none>,1264,85376b856754804f4676fe305482c14f9bbffe97,cutscenes:camera;cutscenes:strong_path_or_extension,camera,"[{""line"": 5, ""text"": ""FLOAT\t\tPolarNormalOrbitSpeed\t\t-100.0\t100.0\t\t0.01\t\tCamera orbit rate (normal)""}, {""line"": 6, ""text"": ""FLOAT\t\tPolarFastOrbitSpeed\t\t-100.0\t100.0\t\t0.01\t\tCamera orbit rate (fast)""}, {""line"": 7, ""text"": ""FLOAT\t\tPolarNormalZoomSpeed\t\t-100.0\t100.0\t\t0.01\t\tCamera zoom speed (normal)""}, {""line"": 8, ""text"": ""FLOAT\t\tPolarFastZoomSpeed\t\t-100.0\t100.0\t\t0.01\t\tCamera zoom speed (fast)""}, {""line"": 9, ""text"": ""VECTOR\tPolarCameraOffset\t\t\t-1000.0\t1000.0\t0.01\t\tOffset from mover for point to orbit around""}, {""line"": 10, ""text"": ""BOOL\t\tPolarCameraTrackPlayer\t\t0\t\t1\t\t1\t\tShould the polar camera track the player""}, {""line"": 12, ""text"": ""BOOL\t\tControlFlyCamera\t\t\t0\t\t1\t\t1\t\tControl the fly camera""}, {""line"": 13, ""text"": ""BOOL\t\tToggleControlWithGamepad\t0\t\t1\t\t1\t\tOverride \""ControlDebugCamera\"" flag with controller input (hold R2+L2)""}, {""line"": 14, ""text"": ""BOOL\t\tFlyCameraTrackPlayer\t\t0\t\t1\t\t1\t\tShould the fly camera track the player""}, {""line"": 15, ""text"": ""FLOAT\t\tNormalFlySpeed\t\t\t-100.0\t100.0\t\t0.01\t\tCamera fly speed (normal)""}, {""line"": 16, ""text"": ""FLOAT\t\tFastFlySpeed\t\t\t-100.0\t100.0\t\t0.01\t\tCamera fly speed (fast)""}, {""line"": 17, ""text"": ""FLOAT\t\tNormalTurnSpeed\t\t\t-100.0\t100.0\t\t0.01\t\tCamera turn rate (normal)""}, {""line"": 18, ""text"": ""FLOAT\t\tFastTurnSpeed\t\t\t-100.0\t100.0\t\t0.01\t\tCamera turn rate (fast)""}]","[""GROUP DEBUGGING_AND_TEST"", ""BOOL"", ""ToggleTestLookAtFns"", ""VECTOR"", ""TestTargetPoint"", ""-100000.0"", ""100000.0"", ""0.01"", ""GROUP PolarCam"", ""FLOAT"", ""PolarNormalOrbitSpeed"", ""-100.0"", ""100.0"", ""Camera orbit rate (normal)"", ""PolarFastOrbitSpeed"", ""Camera orbit rate (fast)"", ""PolarNormalZoomSpeed"", ""Camera zoom speed (normal)"", ""PolarFastZoomSpeed"", ""Camera zoom speed (fast)"", ""PolarCameraOffset"", ""-1000.0"", ""1000.0"", ""Offset from mover for point to orbit around"", ""PolarCameraTrackPlayer"", ""Should the polar camera track the player"", ""GROUP FlyCam"", ""ControlFlyCamera"", ""Control the fly camera"", ""ToggleControlWithGamepad"", ""Override \""ControlDebugCamera\"" flag with controller input (hold R2+L2)"", ""FlyCameraTrackPlayer"", ""Should the fly camera track the player"", ""NormalFlySpeed"", ""Camera fly speed (normal)"", ""FastFlySpeed"", ""Camera fly speed (fast)"", ""NormalTurnSpeed"", ""Camera turn rate (normal)"", ""FastTurnSpeed""]",{}
cutscenes,camera\0x9318D091,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root\camera\0x9318D091,0x9318D091,<none>,8557,445eb95914064285a112cedf2beaf99936b11a99,cutscenes:camera;cutscenes:strong_path_or_extension,camera,"[{""line"": 46, ""text"": ""E 0 A DesiredCameraPos""}, {""line"": 72, ""text"": ""not 1 T FlyCameraTrackPlayer""}, {""line"": 75, ""text"": ""E 0 T FlyCameraTrackPlayer""}, {""line"": 152, ""text"": ""if 3 T ToggleControlWithGamepad F 6 T ControlFlyCamera""}, {""line"": 174, ""text"": ""if 3 T ToggleControlWithGamepad F 6 T ControlFlyCamera""}, {""line"": 221, ""text"": ""if 3 T ToggleControlWithGamepad F 6 T ControlFlyCamera""}, {""line"": 243, ""text"": ""if 3 T ToggleControlWithGamepad F 6 T ControlFlyCamera""}, {""line"": 311, ""text"": ""add 2 T PolarCameraOffset A FollowActorPos""}, {""line"": 321, ""text"": ""N 14 cameraroot 5 0 0 9 1 65535 l""}, {""line"": 365, ""text"": ""*sprint 2 L 5 S DEBUG_PAD_CAMERA_MODE""}, {""line"": 423, ""text"": ""equals 2 A CurrentCameraMode C 18""}, {""line"": 426, ""text"": ""equals 2 A CurrentCameraMode C 17""}, {""line"": 460, ""text"": ""equals 2 A CurrentCameraMode C 17""}, {""line"": 463, ""text"": ""equals 2 A CurrentCameraMode C 5""}, {""line"": 473, ""text"": ""equals 2 A CurrentCameraMode C 18""}, {""line"": 476, ""text"": ""equals 2 A CurrentCameraMode C 5""}]","[""Version 1.6.sagcam.1"", ""B 15"", ""C 26"", ""F 0.100000"", ""F 0.000000"", ""F 1.000000"", ""F -1.000000"", ""F 1.500000"", ""I 4096"", ""F 3.000000"", ""I 8192"", ""I 32768"", ""I 1024"", ""F -1.500000"", ""I 16384"", ""I 64"", ""B false"", ""F 0.500000"", ""F 3.141593"", ""F 180.000000"", ""F 2.000000"", ""V 0.000000 0.000000 0.000000"", ""I 512"", ""B true"", ""debugPadMode/Last"", ""A 0 D_DoNothing 0 0 0 0 49152 l"", ""A 1 F_Set 0 0 0 0 7 l"", ""A 2 H_Set 0 0 0 0 56 l"", ""A 3 C_Set 0 0 0 0 960 l"", ""A 4 P_Set 0 0 0 0 15360 l"", ""A 5 D_Set 0 0 0 0 49152 l"", ""S 6 DebugHeadReset 1 1 0 0 0 49152 1"", ""alarmtimer 1 C 0"", ""S 5 2 0"", ""C 0 0"", ""E 0 A DesiredCameraPos"", ""add 2 D 3 D 9"", ""add 2 F 0 D 13"", ""vector 3 D 4 F 1 C 1"", ""S 7 DebugHeadResetHold 2 0 0 0 0 49152 l""]",{}
cutscenes,camera\0xB78A0DEF,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root\camera\0xB78A0DEF,0xB78A0DEF,<none>,4419,5fc2f95ab117acfdb5b7d8ae08d1351a623e2fe2,cutscenes:camera;cutscenes:strong_path_or_extension,camera,"[{""line"": 1, ""text"": ""CameraLensPresetCollection""}, {""line"": 3, ""text"": ""CameraLensPresets""}, {""line"": 20, ""text"": ""CameraLensPresets""}, {""line"": 37, ""text"": ""CameraLensPresets""}, {""line"": 54, ""text"": ""CameraLensPresets""}, {""line"": 71, ""text"": ""CameraLensPresets""}, {""line"": 88, ""text"": ""CameraLensPresets""}, {""line"": 105, ""text"": ""CameraLensPresets""}, {""line"": 122, ""text"": ""CameraLensPresets""}, {""line"": 139, ""text"": ""CameraLensPresets""}, {""line"": 156, ""text"": ""CameraLensPresets""}, {""line"": 173, ""text"": ""CameraLensPresets""}, {""line"": 190, ""text"": ""CameraLensPresets""}, {""line"": 207, ""text"": ""CameraLensPresets""}, {""line"": 224, ""text"": ""CameraLensPresets""}]","[""CameraLensPresetCollection"", ""CameraLensPresets"", ""FOVDegrees"", ""37.000000"", ""AspectRatio"", ""0.000000"", ""NearPlane"", ""0.500000"", ""FarPlane"", ""1885.000000"", ""Name"", ""\""FocalLength35\"""", ""FocalLength"", ""gohDofSettingsBase"", ""CutoffDistance"", ""Smoothing"", ""FilterType"", ""\""dof9tap\"""", ""UseSoftDOF"", ""33.000000"", ""\""FocalLength40\"""", ""29.000000"", ""\""FocalLength45\"""", ""26.000000"", ""\""FocalLength50\"""", ""24.000000"", ""\""FocalLength55\"""", ""22.000000"", ""\""FocalLength60\"""", ""20.000000"", ""\""FocalLength65\"""", ""19.000000"", ""\""FocalLength70\"""", ""18.000000"", ""\""FocalLength75\"""", ""17.000000"", ""\""FocalLength80\"""", ""16.000000"", ""\""FocalLength85\"""", ""15.000000""]",{}
cutscenes,camera\0xB98FBEEE,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root\camera\0xB98FBEEE,0xB98FBEEE,<none>,666,0f14ecc6d02a9ddebbdddd875213d15df50ab075,cutscenes:camera;cutscenes:strong_path_or_extension,camera,"[{""line"": 9, ""text"": ""<PolarCameraOffset x=\""0.000000\"" y=\""0.857500\"" z=\""0.000000\""/>""}, {""line"": 10, ""text"": ""<PolarCameraTrackPlayer value=\""true\""/>""}, {""line"": 13, ""text"": ""<ControlFlyCamera value=\""true\""/>""}, {""line"": 15, ""text"": ""<FlyCameraTrackPlayer value=\""false\""/>""}]","[""<?xml version=\""1.0\"" encoding=\""UTF-8\""?>"", ""<pausecam>"", ""<PolarCam>"", ""<PolarNormalOrbitSpeed value=\""0.050000\""/>"", ""<PolarFastOrbitSpeed value=\""0.100000\""/>"", ""<PolarNormalZoomSpeed value=\""0.200000\""/>"", ""<PolarFastZoomSpeed value=\""1.000000\""/>"", ""<PolarCameraOffset x=\""0.000000\"" y=\""0.857500\"" z=\""0.000000\""/>"", ""<PolarCameraTrackPlayer value=\""true\""/>"", ""</PolarCam>"", ""<FlyCam>"", ""<ControlFlyCamera value=\""true\""/>"", ""<ToggleControlWithGamepad value=\""false\""/>"", ""<FlyCameraTrackPlayer value=\""false\""/>"", ""<NormalFlySpeed value=\""0.300000\""/>"", ""<FastFlySpeed value=\""4.000000\""/>"", ""<NormalTurnSpeed value=\""0.050000\""/>"", ""<FastTurnSpeed value=\""0.100000\""/>"", ""</FlyCam>"", ""</pausecam>""]","{""root_tag"": ""pausecam""}"
cutscenes,camera\skeltontraveral\0xE871DCDD,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root\camera\skeltontraveral\0xE871DCDD,0xE871DCDD,<none>,1127,4df7eff8856c7a1d11db6182639581b7b66879f3,cutscenes:camera;cutscenes:strong_path_or_extension,camera,[],"[""SkeletonTraverser"", ""SkeletonTraverserCustom"", ""Name"", ""human"", ""PrecisionLevel VeryLowPrecision"", ""BoneMappingList"", ""BoneMapping"", ""LocalOffset"", ""0.000000 0.060000 0.000000"", ""WorldSpaceOffset"", ""0.000000 0.000000 0.000000"", ""BoneName"", ""\""head\"""", ""-0.125000 0.000000 0.000000"", ""\""spine01\"""", ""0.125000 0.000000 0.000000"", ""bird"", ""p_gen_powderkeg02x"", ""NoSkeleton""]",{}
cutscenes,cutscene\intro_01\0x07C8F8A9,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root\cutscene\intro_01\0x07C8F8A9,0x07C8F8A9,<none>,750662,5f5410c4b7413dff9813067c20978a46a74344bc,cutscenes:cutscene;cutscenes:intro_01;cutscenes:strong_path_or_extension,cutscene;intro_01,[],"[""d%KRr"", ""GYU_"", ""Vww7"", ""]P@Bl@"", ""I-!!iPF"", ""Z?P."", ""[A,ZO"", ""FwEFo5F"", "":=Cn"", ""*H@i"", ""=4=3"", ""_7}@#"", ""~;x;"", ""_hD5"", ""wh1\\"", ""X/BV"", ""GbCMeM"", ""(`I"", ""cY)!u[R"", ""1a\""-"", ""q1D{"", ""h\""P8+"", ""VD\\cR0"", ""0E\\8Uh"", ""Gw.M"", ""WTH!&"", ""CY{3"", "";cMv"", ""7&.u"", ""xag|"", ""Wk\\\\"", ""+nf]0"", ""684h"", ""mYN{}"", ""1c$("", ""043@"", "",PAx"", "";3g4"", ""gQfv"", ""dv!jK&""]",{}
cutscenes,cutscene\intro_01\intro_01.cutbin,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root\cutscene\intro_01\intro_01.cutbin,intro_01.cutbin,.cutbin,9011,eaab4588e3eaf589f21c0e861bcb8a55ee7bb2c9,cutscenes:cutbin;cutscenes:cutscene;cutscenes:intro_01;cutscenes:strong_path_or_extension,cutbin;cutscene;intro_01,[],"[""RBF0"", ""rage__cutfCutsceneFile2"", ""fTotalDuration"", ""cFaceDir"", ""t:\\rdr2\\assets\\animationMakeClip\\cutscene_face\\INTRO_01"", ""iCutsceneFlags"", ""content"", ""int_array"", ""vOffset"", ""A3[\""E"", ""fRotationV"", ""cExtraRoom"", ""vExtraRoomPos"", ""pCutsceneObjects"", ""Item"", ""type"", ""rage__cutfAssetManagerObject"", ""iObjectId"", ""attributeList"", ""rage__cutfAnimationManagerObject"", ""rage__cutfCameraObject"", ""cName"", ""ExportCamera"", ""fNearDrawDistance"", ""fFarDrawDistance"", ""rage__cutfPedModelObject"", ""Bandana"", ""value"", ""FaceFx"", ""PLAYER:character_root"", ""cAnimExportCtrlSpecFile"", ""cAnimCompressionFile"", ""Ped_Model_Default_Compress.txt"", ""vStartPosition"", ""P~?b"", ""vStartRotationQuaternion"", ""vEndPosition<"", ""vEndRotationQuaternion"", ""bFoundFaceAnimation"", ""bFaceAndBodyAreMerged!0""]",{}
cutscenes,cutscene\intro_sequence_1\0x07C8F8A9,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root\cutscene\intro_sequence_1\0x07C8F8A9,0x07C8F8A9,<none>,515438,dc5c8c06d911bfd24d97ee4c2989312141ade0b6,cutscenes:cutscene;cutscenes:intro_sequence;cutscenes:strong_path_or_extension,cutscene;intro_sequence,[],"[""hhh@"", ""q<`b"", ""|5x"", ""O>^g"", ""8>%)"", ""PIqT"", ""1:(C"", ""3%+`"", ""]*8?"", "",UZv\\0@"", "">N+^"", ""=i]-"", ""acLD"", ""g68Z"", ""\""5(:"", ""0y8s"", ""j&vF"", ""K#`bU?0"", "":A]`'3"", ""bbaBss"", ""F L/-"", ""6Yuls"", ""w)1J"", "";=:#:"", ""c#KuI"", ""sb6["", ""|v*N{"", ""zp^!"", ""F;z("", "",c@l"", ""c=Hzx91T"", ""PFqiV"", ""hml_"", ""=<$\\"", ""!^W;M"", ""GN|@$W"", ""0}*G"", ""6MEw"", ""H8;q"", ""kg4waS""]",{}
cutscenes,cutscene\intro_sequence_1\0x07D8B276,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root\cutscene\intro_sequence_1\0x07D8B276,0x07D8B276,<none>,167251,2318b1b78af4aef703a8d6b661ae9291a582e5ca,cutscenes:cutscene;cutscenes:intro_sequence;cutscenes:strong_path_or_extension,cutscene;intro_sequence,[],"[""4J7HwKwIH"", ""=09h"", ""#Z+("", ""NuC)"", ""_P+E3+"", "">Qg/"", ""_2iU"", ""[3S`y"", ""I:gsU"", ""CTy["", ""^}!B"", ""u1p7"", ""<e}}<"", ""{|$=ovsS2"", ""Nc8>"", ""J>\\;N"", ""=r{F"", ""[6,Vs"", ""(P\\"", ""\""mQj|"", ""BT]"", ""S_pV5SM+"", "">6Kh'"", ""G4fQPwt"", ""\"",1he(q"", ""zuo|C_SG"", ""Mesc"", ""l%N*"", ""x2`|"", ""5;t4+"", ""7tro_"", ""B7b4"", ""eBcl"", ""kLf-"", ""+_O#*"", ""Rd?v"", ""wS:N"", ""IMz)"", ""#6c!So"", ""lLPo)""]",{}
cutscenes,cutscene\intro_sequence_1\0x37662ED5,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root\cutscene\intro_sequence_1\0x37662ED5,0x37662ED5,<none>,357359,53e0c5e53b0826201e549fbf45eae7703a1238c4,cutscenes:cutscene;cutscenes:intro_sequence;cutscenes:strong_path_or_extension,cutscene;intro_sequence,[],"[""%IFr"", ""\""9.HN"", ""\""QDAQ@@@"", ""tuUuM"", ""_,CA"", ""AC=Z"", ""H8F$"", ""1DA]"", ""g&@T"", ""0Nu:"", ""7p1h"", ""yq<Sq"", ""w8E<97"", ""q8OI"", ""xk*z"", "":UN=k"", ""B~\\7"", ""U= b!jWf"", ""c;YR"", ""/m)."", ""adMU"", "";5:L"", "":3#\"""", ""vY6&7"", ""7}x>"", ""I^w*"", ""y&ySi"", "")mnn"", ""GzUe"", ""Tv}0"", ""+KuJ)|"", ""HR:hx"", ""c2ck"", ""4etd"", ""T)8<"", ""bNy|"", ""gJ-k"", ""qujy"", ""17X*U"", ""iL}v""]",{}
cutscenes,cutscene\intro_sequence_1\0x57D4E47B,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root\cutscene\intro_sequence_1\0x57D4E47B,0x57D4E47B,<none>,539247,5a78eeab9db670923ade9f087864f59a839818b9,cutscenes:cutscene;cutscenes:intro_sequence;cutscenes:strong_path_or_extension,cutscene;intro_sequence,[],"[""PT:E"", ""8@!`b"", ""GAX("", ""tYCA"", ""f(h34"", ""VNI>"", ""+'VMwo"", ""yd\\w"", ""S.c&G"", ""\\&|O\\"", ""%\\ej"", ""nT6h"", ""Pk0"", ""l18$"", ""\""A}|"", ""m?|_"", ""rBSCe"", ""#TSl"", ""n=YV%OH?{"", ""^W{]"", ""M_w`"", ""P?-h-r\"""", ""s<gz"", ""VOx=W>"", ""AA\""+rc/"", ""%C &"", "";8&9"", ""#,$p"", ""wCZ/"", ""ox#W"", ""QrnJ"", ""XF.x"", ""k%:;I"", "")%SJmF%"", ""A2ta"", ""0Ax["", ""mcZ+2"", ""Weu?"", ""n(\\M"", ""CB_(g""]",{}
cutscenes,cutscene\intro_sequence_1\0x59939AFB,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root\cutscene\intro_sequence_1\0x59939AFB,0x59939AFB,<none>,565609,33d5f46426ad7bb68e9145e20cbc1fb3ba6e9268,cutscenes:cutscene;cutscenes:intro_sequence;cutscenes:strong_path_or_extension,cutscene;intro_sequence,[],"["",e;$$tDB*k"", ""97b2n"", ""D!Fq"", "".@zF0_"", ""]78Ow8"", ""\""a]$"", ""fu)Z"", ""YT48"", ""k^/h"", "".98/5"", ""ndFo$e]cq{Wz"", ""7V|y"", ""q$g%Z"", ""&jI`J"", ""C`P{"", ""|o!v\"""", ""\\]SIRu"", ""!y&Jd8"", ""JSbc"", ""<i|#"", ""Q)JcX"", ""0GqJ1"", ""[891A"", ""{>b6"", ""?GfA"", ""s$>2r-"", ""lO/|z"", ""ro\\^"", ""?\\bO"", ""V}j!"", ""NvGXK)>P.&"", ""wygZT"", "">H;w"", ""~S;W"", ""W_A|"", ""i,C^"", ""$s6W"", "")g_E"", ""]2?VO"", ""J<k}""]",{}
cutscenes,cutscene\intro_sequence_1\0xC01B9D88,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root\cutscene\intro_sequence_1\0xC01B9D88,0xC01B9D88,<none>,306659,976ccecb00566f300231a477def09c3812df5f0c,cutscenes:cutscene;cutscenes:intro_sequence;cutscenes:strong_path_or_extension,cutscene;intro_sequence,[],"["">twJwKw+-q"", ""D688"", ""\""_FB"", ""2T#!& g"", ""_@IH"", ""`'C"", ""65FB"", ""DB62"", ""rwGB"", ""'ca_"", ""%o+\\Tf"", ""W7_<c"", ""w9NP"", ""`Yk'{~"", ""l;M6A"", "";|]M"", ""^]u)"", ""!\\K}["", ""KE8z"", ""p)gW"", "";1ae"", ""UG(="", ""Y]P}"", ""Z_Sw"", ""hIk{"", ""%-,`="", ""}r`v"", ""R&gv"", ""lKi@"", ""r4R="", ""b9nqQ"", ""e>u6"", ""RrSZ"", ""+MPS"", ""?])@"", ""B`OJ"", ""4#A!*"", "";38uu"", ""s&Q."", ""sUxNOG""]",{}
cutscenes,cutscene\intro_sequence_1\0xEE5E8FAF,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root\cutscene\intro_sequence_1\0xEE5E8FAF,0xEE5E8FAF,<none>,182527,db1e786cb9e073dab1b5e21d597c1bdf150d3edb,cutscenes:cutscene;cutscenes:intro_sequence;cutscenes:strong_path_or_extension,cutscene;intro_sequence,[],"[""x (B0"", ""i{P?"", ""[4>I"", ""OL4U"", ""\""2U7"", ""h{7s"", ""=\""2Q;"", ""KLl)"", ""j O>"", ""c2H~"", ""]3_A"", ""4cx)c"", ""YOxd"", ""S(QP"", ""X>C:G"", ""P5]#if"", ""kr+}"", ""*\\K2"", ""|&N2{"", ""{[SQ"", ""QDtYdn"", "">\""dL"", ""~M`y"", ""NL8D"", ""Gh!oi]"", ""(v<<"", ""t|7Ke"", ""p9c5"", ""*;OZG"", ""g!v;"", ""1?\""n"", ""o@4!"", ""U9bt"", ""m5y,+"", ""fo)a"", ""e?5#6"", ""<:#n"", ""}]{y"", ""sbC}"", ""9A>#""]",{}
cutscenes,cutscene\intro_sequence_1\intro_sequence_1.cutbin,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root\cutscene\intro_sequence_1\intro_sequence_1.cutbin,intro_sequence_1.cutbin,.cutbin,28594,0f17ae95441a2a55b972ed7b1cf4609447013a0f,cutscenes:cutbin;cutscenes:cutscene;cutscenes:intro_sequence;cutscenes:strong_path_or_extension,cutbin;cutscene;intro_sequence,[],"[""RBF0"", ""rage__cutfCutsceneFile2"", ""fTotalDuration"", ""cFaceDir"", ""t:\\rdr2\\assets\\animationMakeClip\\cutscene_face\\INTRO_Sequence_1"", ""iCutsceneFlags"", ""content"", ""int_array"", ""vOffset3CUD"", ""fRotation"", ""cExtraRoom"", ""vExtraRoomPos"", ""pCutsceneObjects"", ""Item"", ""type"", ""rage__cutfAssetManagerObject"", ""iObjectId"", ""attributeList"", ""rage__cutfAnimationManagerObject"", ""rage__cutfCameraObject"", ""cName"", ""ExportCamera"", ""fNearDrawDistance"", ""fFarDrawDistance"", ""rage__cutfPropModelObject"", ""p_gen_signDepartures01x:root"", ""cAnimExportCtrlSpecFile"", ""cAnimCompressionFile"", ""vStartPosition"", ""K%?'"", ""vStartRotationQuaternion"", ""vEndPositionZ09?"", ""o?&Mm"", ""vEndRotationQuaternion"", ""rage__cutfPedModelObject"", ""Bandana"", ""value"", ""PLAYER_cs:character_root"", ""Ped_Model_Default_Spec.xml"", ""Ped_Model_Default_Compress.txt""]",{}
cutscenes,cutscene\intro_sequence_2\0x07C8F8A9,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root\cutscene\intro_sequence_2\0x07C8F8A9,0x07C8F8A9,<none>,866935,7de240fac2a23f6abb7b0ec6fb1156322b9cd374,cutscenes:cutscene;cutscenes:intro_sequence;cutscenes:strong_path_or_extension,cutscene;intro_sequence,[],"[""HHwww7"", ""ovf~"", ""= @t7"", ""s~P"", ""Ox=\"""", ""]~Z4|I#"", ""Kc_SZ"", ""0JwbH"", ""mlTy"", ""`PKu"", ""^fZRH"", ""5_n~"", ""ECd4Ix:g"", ""D3`n"", ""bV+Q"", ""2l\""=\""R"", ""QdM0"", "":]j:6k"", "",q\\R"", ""kU:W"", ""1G8VS"", ""pa__9$o"", ""C[&I"", ""q|=0"", ""Vx_p"", ""<dBda"", ""{|2Y"", ""y~^u"", ""e(h_"", ""%Zy8"", ""Fe]%"", ""FwHP"", ""kV`<q=q"", ""W\""rx"", ""()#0N"", ""Cc_w(i"", ""{aG,`n"", ""*/3e"", ""aA2P."", ""/vwWy""]",{}
cutscenes,cutscene\intro_sequence_2\0x57D4E47B,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root\cutscene\intro_sequence_2\0x57D4E47B,0x57D4E47B,<none>,556520,f77c73c82f4e9dba19928a36896fddeb28d17174,cutscenes:cutscene;cutscenes:intro_sequence;cutscenes:strong_path_or_extension,cutscene;intro_sequence,[],"[""!Bp$"", ""C|I"", ""t YI"", ""Y;nh3"", ""'zla"", ""5eUR"", ""j04R"", ""v<s_%N"", ""\""At)"", ""Lzep"", ""KZ>:"", ""5o$w"", ""O92ut"", ""ij#}"", ""^x+Y"", ""g/-^"", ""J'1JIZ"", ""[f]ac"", ""myW?m"", ""3D!g\"""", ""*!,71"", ""G|$c"", ""e3E*"", ""j$s=p"", ""~5x"", ""[6Z="", ""0iA\"""", ""\\9ET"", ""8OIn%B"", ""}aJ."", ""O\\<6,3"", ""6Rvm"", ""pW7F"", ""P[1<5"", ""Uns&:"", ""Xv\""B4"", ""|9\\-"", ""Y<~$["", ""=vVy)"", ""dur~O""]",{}
cutscenes,cutscene\intro_sequence_2\0x59939AFB,D:\Games\Red Dead Redemption\game\BACKUP BEFORE MODDING\rdr1\mods\root\cutscene\intro_sequence_2\0x59939AFB,0x59939AFB,<none>,358147,6e6e0f7d65f39afb7d7f222d743bad70c707bdac,cutscenes:cutscene;cutscenes:intro_sequence;cutscenes:strong_path_or_extension,cutscene;intro_sequence,[],"[""'&&`"", ""]pL{"", ""><uR"", ""CRTV"", ""\\EIX"", ""PN/R6]b"", ""OC]m"", ""K%'e"", ""]CVoq"", "".wXr"", ""4,RI"", ""Y8(/"", ""~NFU"", ""#a2|"", ""g`xY2)"", ""_RoZ"", ""0sge"", ""Qnm,l"", ""K&\""?"", ""_(. $"", ""qwDU"", ""lj,= J"", ""q^IGp"", ""xx2Qqg"", "";']^"", ""@?gA"", ""#fwgV"", ""[bEq"", ""|N>`.>~t"", ""+'?v"", ""wO7C"", ""xm7n"", ""ow4f"", ""c{VtSY"", ""vGp.d"", ""$-~W"", ""Ht`K3"", ""H'B}"", ""_|h0Y"", ""q-%q""]",{}
